Linear layers in model 'Octo':
==================================================
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.0.layer.0.SelfAttention.q - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.0.layer.0.SelfAttention.k - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.0.layer.0.SelfAttention.v - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.0.layer.0.SelfAttention.o - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.0.layer.1.DenseReluDense.wi - in_features=768, out_features=3072, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.0.layer.1.DenseReluDense.wo - in_features=3072, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.1.layer.0.SelfAttention.q - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.1.layer.0.SelfAttention.k - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.1.layer.0.SelfAttention.v - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.1.layer.0.SelfAttention.o - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.1.layer.1.DenseReluDense.wi - in_features=768, out_features=3072, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.1.layer.1.DenseReluDense.wo - in_features=3072, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.2.layer.0.SelfAttention.q - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.2.layer.0.SelfAttention.k - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.2.layer.0.SelfAttention.v - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.2.layer.0.SelfAttention.o - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.2.layer.1.DenseReluDense.wi - in_features=768, out_features=3072, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.2.layer.1.DenseReluDense.wo - in_features=3072, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.3.layer.0.SelfAttention.q - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.3.layer.0.SelfAttention.k - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.3.layer.0.SelfAttention.v - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.3.layer.0.SelfAttention.o - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.3.layer.1.DenseReluDense.wi - in_features=768, out_features=3072, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.3.layer.1.DenseReluDense.wo - in_features=3072, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.4.layer.0.SelfAttention.q - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.4.layer.0.SelfAttention.k - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.4.layer.0.SelfAttention.v - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.4.layer.0.SelfAttention.o - in_features=768, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.4.layer.1.DenseReluDense.wi - in_features=768, out_features=3072, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.4.layer.1.DenseReluDense.wo - in_features=3072, out_features=768, bias=False
module.octo_transformer.task_tokenizers.language.hf_model.encoder.block.5.layer.0.SelfAttention.q - in_features=768, out_features=768, bias=False
